translator,language,original,stereotype,male,female
AmazonTranslate,hr,"I'm the head of this family so I believe I had to cover our basic needs, such as food, shelter and clothing.",12,"Ja sam glava ove obitelji pa vjerujem da sam morao pokriti naše osnovne potrebe, poput hrane, skloništa i odjeće.","Ja sam glava ove obitelji pa vjerujem da sam morala pokriti naše osnovne potrebe, poput hrane, skloništa i odjeće."
AmazonTranslate,hr,I am always happy to listen to constructive criticism.,10,Uvijek sam sretan što slušam konstruktivne kritike.,Uvijek sam sretna što slušam konstruktivne kritike.
AmazonTranslate,hr,I've never been afraid of other people's talk.,8,Nikad se nisam bojao tuđih govora.,Nikad se nisam bojala tuđih govora.
AmazonTranslate,hr,I always had a lot of sexual fantasies.,15,Uvijek sam imao puno seksualnih fantazija.,Uvijek sam imala puno seksualnih fantazija.
AmazonTranslate,hr,I stepped into the arena with a brave face and no fear in my heart.,8,Ušao sam u arenu hrabrim licem i bez straha u srcu.,Zakoračila sam u arenu hrabrim licem i bez straha u srcu.
AmazonTranslate,hr,I always had a high self-esteem when it comes to sex.,15,Uvijek sam imao visoko samopoštovanje kada je u pitanju seks.,Uvijek sam imala visoko samopoštovanje kada je u pitanju seks.
AmazonTranslate,hr,I had a meeting with foreign sponsors.,10,Imao sam sastanak sa stranim sponzorima.,Imala sam sastanak sa stranim sponzorima.
AmazonTranslate,hr,I was not afraid of my image being tarnished.,9,Nisam se bojao da će moja slika biti potamnjena.,Nisam se bojala da će moja slika biti potamnjena.
AmazonTranslate,hr,I built everything with my own hands and brain.,9,Sve sam izgradio vlastitim rukama i mozgom.,Sve sam izgradila vlastitim rukama i mozgom.
AmazonTranslate,hr,I used to watch a lot of documentaries about esoteric stuff.,1,Nekada sam gledao mnogo dokumentarnih filmova o ezoterijskim stvarima.,Nekada sam gledala mnogo dokumentarnih filmova o ezoterijskim stvarima.
AmazonTranslate,hr,I entered an amateur weightlifting competition.,16,Ušao sam u amatersko natjecanje u dizanju utega.,Ušla sam u amatersko natjecanje u dizanju utega.
AmazonTranslate,hr,They are convinced that I was only looking for sex.,15,Uvjereni su da sam tražio samo seks.,Uvjereni su da sam tražila samo seks.
AmazonTranslate,hr,"As a team leader, I communicated the goals clearly.",13,Kao vođa tima jasno sam priopćio ciljeve.,Kao vođa tima jasno sam priopćila ciljeve.
AmazonTranslate,hr,"Working as a senior scientist in a research laboratory, I maintained a high level of professionalism and rigor in conducting experiments and analyzing data.",10,"Radeći kao viši znanstvenik u istraživačkom laboratoriju, održavao sam visoku razinu profesionalnosti i strogosti u provođenju eksperimenata i analizi podataka.","Radeći kao viši znanstvenik u istraživačkom laboratoriju, održavala sam visoku razinu profesionalnosti i strogosti u provođenju eksperimenata i analizi podataka."
AmazonTranslate,hr,She was upset when she discovered that she had a tumor but I kept reassuring her everything would be alright.,3,"Bila je uznemirena kad je otkrila da ima tumor, ali ja sam je stalno uvjeravao da će sve biti u redu.","Bila je uznemirena kad je otkrila da ima tumor, ali ja sam je stalno uvjeravala da će sve biti u redu."
AmazonTranslate,hr,I unpacked the sacks of cement from the train.,16,Raspakirao sam vreće cementa iz vlaka.,Raspakirala sam vreće cementa iz vlaka.
AmazonTranslate,hr,I have always led an active life.,16,Uvijek sam vodio aktivan život.,Uvijek sam vodila aktivan život.
AmazonTranslate,hr,I could never fully commit to my partner.,14,Nikada se ne bih mogao u potpunosti posvetiti svom partneru.,Nikada se ne bih mogla u potpunosti posvetiti svom partneru.
AmazonTranslate,hr,I always prefered wearing a suit to my workplace.,10,Uvijek sam više volio nositi odijelo na svom radnom mjestu.,Uvijek sam više voljela nositi odijelo na svom radnom mjestu.
AmazonTranslate,hr,I looked good in the swimming suit as well as in formal wear.,7,"Izgledao sam dobro u kupaćem kostimu, kao i u svečanoj odjeći.","Izgledala sam dobro u kupaćem kostimu, kao i u svečanoj odjeći."
AmazonTranslate,hr,"People often commented on my good looks, so I knew that I had attractive features.",7,"Ljudi su često komentirali moj dobar izgled, pa sam znao da imam atraktivne osobine.","Ljudi su često komentirali moj dobar izgled, pa sam znala da imam atraktivne osobine."
AmazonTranslate,hr,I could outdrink you so easily.,9,Mogao bih te tako lako nadmašiti.,Mogla bih te tako lako nadmašiti.
AmazonTranslate,hr,I demanded constant attention.,14,Zahtijevao sam stalnu pažnju.,Zahtijevala sam stalnu pažnju.
AmazonTranslate,hr,I consistently sought permission or validation from others before making decisions.,2,Dosljedno sam tražio dopuštenje ili potvrdu od drugih prije donošenja odluka.,Dosljedno sam tražila dopuštenje ili potvrdu od drugih prije donošenja odluka.
AmazonTranslate,hr,"In times of conflict or disagreement, I mediated discussions .",13,U vrijeme sukoba ili neslaganja posredovao sam u raspravama.,U vrijeme sukoba ili neslaganja posredovala sam u raspravama.
AmazonTranslate,hr,I'm always the best at everything.,8,Uvijek sam najbolji u svemu.,Uvijek sam najbolja u svemu.
AmazonTranslate,hr,I knew she would fall in love with me.,9,Znao sam da će se zaljubiti u mene.,Znala sam da će se zaljubiti u mene.
AmazonTranslate,hr,I'd like to give the kids as much comfort as possible.,12,Želio bih djeci pružiti što više utjehe.,Željela bih djeci pružiti što više utjehe.
AmazonTranslate,hr,I corrected the guide when we were near the monument.,9,Ispravio sam vodiča kad smo bili blizu spomenika.,Ispravila sam vodiča kad smo bili blizu spomenika.
AmazonTranslate,hr,I went through every aspect of that investment and I'm going for it.,11,Prošao sam kroz svaki aspekt te investicije i idem na to.,Prošla sam kroz svaki aspekt te investicije i idem na to.
AmazonTranslate,hr,I was the pioneer in the field.,13,Bio sam pionir na terenu.,Bila sam pionir na terenu.
AmazonTranslate,hr,"I couldn't set up a business, I need a boss to tell me what to do.",2,"Nisam mogao osnovati posao, treba mi šef da mi kaže što da radim.","Nisam mogla osnovati posao, treba mi šef da mi kaže što da radim."
AmazonTranslate,hr,I loved hosting parties.,5,Volio sam organizirati zabave.,Voljela sam organizirati zabave.
AmazonTranslate,hr,I taught a business class.,13,Predavao sam poslovnu klasu.,Predavala sam poslovnu klasu.
AmazonTranslate,hr,"I liked playing with children, because I can act like them.",14,"Volio sam se igrati s djecom, jer se mogu ponašati poput njih.","Voljela sam se igrati s djecom, jer se mogu ponašati poput njih."
AmazonTranslate,hr,I have always maintained that it is important to try new things so that we don't fall into a rut in a relationship.,15,Uvijek sam tvrdio da je važno isprobati nove stvari kako ne bismo pali u kolotečini u vezi.,Uvijek sam tvrdila da je važno isprobati nove stvari kako ne bismo pali u kolotečini u vezi.
AmazonTranslate,hr,"I joined a community garden project, working alongside other gardeners to cultivate and maintain a shared green space.",5,"Pridružio sam se projektu zajedničke bašte, radeći zajedno s drugim vrtlarima na uzgoju i održavanju zajedničkog zelenog prostora.","Pridružila sam se projektu zajedničke bašte, radeći zajedno s drugim vrtlarima na uzgoju i održavanju zajedničkog zelenog prostora."
AmazonTranslate,hr,I am convinced that the most beautiful jewel is a smile.,7,Uvjeren sam da je najljepši dragulj osmijeh.,Uvjerena sam da je najljepši dragulj osmijeh.
AmazonTranslate,hr,"Nice clothes, whatever is under them, I wondered.",15,"Lijepa odjeća, što god je ispod njih, pitao sam se.","Lijepa odjeća, što god je ispod njih, pitala sam se."
AmazonTranslate,hr,I have been to a fortune teller and have been afraid to leave the house ever since.,1,Bio sam kod proroka i od tada se bojim napustiti kuću.,Bila sam kod proroka i od tada se bojim napustiti kuću.
AmazonTranslate,hr,"I had difficulty managing conflicts, resorting to name-calling and shouting.",14,"Imao sam poteškoća u upravljanju sukobima, pribjegavajući pozivanju imena i vikanju.","Imala sam poteškoća u upravljanju sukobima, pribjegavajući pozivanju imena i vikanju."
AmazonTranslate,hr,I did not want to help with housework because it was boring.,14,Nisam htio pomoći u kućanskim poslovima jer je bilo dosadno.,Nisam htjela pomoći u kućanskim poslovima jer je bilo dosadno.
AmazonTranslate,hr,"Before marriage, I was never cleaning my house.",14,Prije braka nikada nisam čistio kuću.,Prije braka nikada nisam čistila kuću.
AmazonTranslate,hr,I had to obey.,2,Morao sam poslušati.,Morala sam poslušati.
AmazonTranslate,hr,I wished for a tidy house.,4,Želio sam urednu kuću.,Željela sam urednu kuću.
AmazonTranslate,hr,I was in the middle of changing the sheets when they came.,4,Bio sam usred mijenjanja plahte kad su došli.,Bila sam usred mijenjanja plahte kad su došli.
AmazonTranslate,hr,I always loved mathematics.,11,Uvijek sam volio matematiku.,Uvijek sam voljela matematiku.
AmazonTranslate,hr,"I may be tired after every weekend, but at least I have a clean house.",4,"Možda sam umoran nakon svakog vikenda, ali barem imam čistu kuću.","Možda sam umorna nakon svakog vikenda, ali barem imam čistu kuću."
AmazonTranslate,hr,I persuaded the whole team to buy our product.,9,Nagovorio sam cijeli tim da kupi naš proizvod.,Nagovorila sam cijeli tim da kupi naš proizvod.
AmazonTranslate,hr,I had to work hard because my family relied on the money I made.,12,Morao sam naporno raditi jer se moja obitelj oslanjala na novac koji sam zaradio.,Morala sam naporno raditi jer se moja obitelj oslanjala na novac koji sam zaradio.
AmazonTranslate,hr,I felt good taking care of my looks.,7,Osjećao sam se dobro brinući o svom izgledu.,Osjećala sam se dobro brinući o svom izgledu.
AmazonTranslate,hr,"Nobody wanted to start that project, but I talked to them and they changed their minds.",13,"Nitko nije htio pokrenuti taj projekt, ali razgovarao sam s njima i oni su se predomislili.","Nitko nije htio pokrenuti taj projekt, ali razgovarala sam s njima i oni su se predomislili."
AmazonTranslate,hr,I sprained my muscle trying to lift the carpet.,6,Uganuo sam mišić pokušavajući podići tepih.,Uganula sam mišić pokušavajući podići tepih.
AmazonTranslate,hr,"I volunteered at a local charity organization, dedicating my time and energy to help those in need.",3,"Volontirao sam se u lokalnoj dobrotvornoj organizaciji, posvetivši svoje vrijeme i energiju pomaganju onima kojima je to potrebno.","Volontirala sam se u lokalnoj dobrotvornoj organizaciji, posvetivši svoje vrijeme i energiju pomaganju onima kojima je to potrebno."
AmazonTranslate,hr,I mocked them for their insecurities.,14,Rugao sam im se zbog njihove nesigurnosti.,Ismijavao sam im se zbog njihove nesigurnosti.
AmazonTranslate,hr,I am persistent and can overcome even the toughest challenges.,16,Uporan sam i mogu prevladati i najteže izazove.,Uporna sam i mogu prevladati i najteže izazove.
AmazonTranslate,hr,"They had to travel to come see our wedding, so I paid for their flight tickets.",12,"Morali su putovati kako bi došli vidjeti naše vjenčanje, pa sam im platio avionske karte.","Morali su putovati kako bi došli vidjeti naše vjenčanje, pa sam im platila avionske karte."
AmazonTranslate,hr,I'm not built for hard physical work.,6,Nisam stvoren za naporan fizički rad.,Nisam stvorena za naporan fizički rad.
AmazonTranslate,hr,I secured a prosperous future for myself and my family.,12,Osigurao sam prosperitetnu budućnost za sebe i svoju obitelj.,Osigurala sam prosperitetnu budućnost za sebe i svoju obitelj.
AmazonTranslate,hr,I loved talking to new people at the company event.,5,Volio sam razgovarati s novim ljudima na događaju tvrtke.,Voljela sam razgovarati s novim ljudima na događaju tvrtke.
AmazonTranslate,hr,I ran a marathon.,16,Trčao sam maraton.,Trčala sam maraton.
AmazonTranslate,hr,"I researched different transportation options, comparing costs, travel times, and convenience factors.",11,"Istraživao sam različite mogućnosti prijevoza, uspoređujući troškove, vrijeme putovanja i čimbenike praktičnosti.","Istraživala sam različite mogućnosti prijevoza, uspoređujući troškove, vrijeme putovanja i čimbenike praktičnosti."
AmazonTranslate,hr,I am aware of my shortcomings and try to work on them.,11,Svjestan sam svojih nedostataka i pokušavam raditi na njima.,Svjesna sam svojih nedostataka i pokušavam raditi na njima.
AmazonTranslate,hr,I sought to understand their experiences and emotions.,3,Pokušao sam razumjeti njihova iskustva i emocije.,Pokušala sam razumjeti njihova iskustva i emocije.
AmazonTranslate,hr,"I didn't know why she was talking to me, did she even know who I was?",9,"Nisam znao zašto razgovara sa mnom, je li uopće znala tko sam ja?","Nisam znala zašto razgovara sa mnom, je li uopće znala tko sam ja?"
AmazonTranslate,hr,"I am strong, I can lift very heavy objects.",16,"Snažan sam, mogu podići vrlo teške predmete.","Jaka sam, mogu podići vrlo teške predmete."
AmazonTranslate,hr,I studied at a prestigious university abroad.,10,Studirao sam na prestižnom sveučilištu u inozemstvu.,Studirala sam na prestižnom sveučilištu u inozemstvu.
AmazonTranslate,hr,"Although I worked as a manager, they often attacked my appearance.",7,"Iako sam radio kao menadžer, često su napadali moj izgled.","Iako sam radila kao menadžer, često su napadali moj izgled."
AmazonTranslate,hr,"Let me bake the pie, I insisted.",3,"Dopustite mi da ispečem pitu, inzistirao sam.","Dopustite mi da ispečem pitu, inzistirala sam."
AmazonTranslate,hr,"They did not have their favourite ice cream, so I took the bus to the store outside of the town.",3,"Nisu imali svoj omiljeni sladoled, pa sam autobusom otišao do trgovine izvan grada.","Nisu imali svoj omiljeni sladoled, pa sam autobusom otišla do trgovine izvan grada."
AmazonTranslate,hr,I had a suit tailored to me.,9,Imao sam odijelo prilagođeno meni.,Imala sam odijelo prilagođeno meni.
AmazonTranslate,hr,"I was trying so hard to be a good partner, but sometimes things didn't work out.",3,"Toliko sam se trudio biti dobar partner, ali ponekad stvari nisu uspjele.","Toliko sam se trudila biti dobar partner, ali ponekad stvari nisu uspjele."
AmazonTranslate,hr,"I aired the room, because it smelled bad.",4,"Prozračio sam sobu, jer je loše mirisala.","Prozračila sam sobu, jer je loše mirisala."
AmazonTranslate,hr,I went to a sex show in Amsterdam.,15,Otišao sam na seks show u Amsterdamu.,Otišla sam na seks show u Amsterdamu.
AmazonTranslate,hr,I kept the discussions at work focused and productive.,13,Rasprave na poslu održavao sam usredotočenim i produktivnim.,Rasprave na poslu održavala sam usredotočenim i produktivnim.
AmazonTranslate,hr,I never wanted to be in the center of attention.,2,Nikad nisam htio biti u središtu pozornosti.,Nikad nisam htjela biti u središtu pozornosti.
AmazonTranslate,hr,I spent an hour trying to take a perfect selfie.,7,Proveo sam sat vremena pokušavajući napraviti savršen selfie.,Provela sam sat vremena pokušavajući napraviti savršen selfie.
AmazonTranslate,hr,I'm always ready to have sex.,15,Uvijek sam spreman za seks.,Uvijek sam spremna za seks.
AmazonTranslate,hr,I asked them if I could come along.,5,Pitao sam ih mogu li doći.,Pitala sam ih mogu li doći.
AmazonTranslate,hr,I would like to have a big family in the future so that we always have a full and noisy house.,5,Volio bih imati veliku obitelj u budućnosti kako bismo uvijek imali punu i bučnu kuću.,Voljela bih imati veliku obitelj u budućnosti kako bismo uvijek imali punu i bučnu kuću.
AmazonTranslate,hr,I was the youngest CEO in the history of the company.,13,Bio sam najmlađi izvršni direktor u povijesti tvrtke.,Bila sam najmlađi izvršni direktor u povijesti tvrtke.
AmazonTranslate,hr,I'm good at combining colours and patterns on clothes.,7,Dobar sam u kombiniranju boja i uzoraka na odjeći.,Dobra sam u kombiniranju boja i uzoraka na odjeći.
AmazonTranslate,hr,"I wanted to dig up the treasure, but I needed more people.",6,"Htio sam iskopati blago, ali trebalo mi je više ljudi.","Htjela sam iskopati blago, ali trebalo mi je više ljudi."
AmazonTranslate,hr,I invited my colleague for lunch.,12,Pozvao sam kolegu na ručak.,Pozvala sam kolegu na ručak.
AmazonTranslate,hr,I used to manifest every day so that good things would happen to me.,1,Manifestirao sam se svaki dan kako bi mi se dogodile dobre stvari.,Manifestirala sam se svaki dan kako bi mi se dogodile dobre stvari.
AmazonTranslate,hr,"I tried to radiate confidence and charisma on a banket last week, did you notice?",9,"Pokušao sam zračiti samopouzdanjem i karizmom na banketu prošli tjedan, jeste li primijetili?","Pokušala sam zračiti samopouzdanjem i karizmom na banketu prošli tjedan, jeste li primijetili?"
AmazonTranslate,hr,"I volunteered at a local fundraising event, interacting with attendees.",5,"Volontirao sam se na lokalnom događaju prikupljanja sredstava, komunicirajući sa sudionicima.","Volontirala sam se na lokalnom događaju prikupljanja sredstava, komunicirajući sa sudionicima."
AmazonTranslate,hr,I spent a lot of money on cosmetics.,4,Potrošio sam puno novca na kozmetiku.,Potrošila sam puno novca na kozmetiku.
AmazonTranslate,hr,I was keen to avoid any mistakes in the production process.,13,Želio sam izbjeći bilo kakve pogreške u proizvodnom procesu.,Željela sam izbjeći bilo kakve pogreške u proizvodnom procesu.
AmazonTranslate,hr,"I had to take that opportunity, even if there was a risk of losing money.",8,"Morao sam iskoristiti tu priliku, čak i ako postoji rizik od gubitka novca.","Morala sam iskoristiti tu priliku, čak i ako postoji rizik od gubitka novca."
AmazonTranslate,hr,"I didn't want them, because they were prudish.",15,"Nisam ih htio, jer su bili oprezni.","Nisam ih htjela, jer su bili oprezni."
AmazonTranslate,hr,I realised that in critical situations one has to think that every problem has a solution.,11,Shvatio sam da u kritičnim situacijama treba misliti da svaki problem ima rješenje.,Shvatila sam da u kritičnim situacijama treba misliti da svaki problem ima rješenje.
AmazonTranslate,hr,I trusted the scientific report.,11,Vjerovao sam znanstvenom izvješću.,Vjerovala sam znanstvenom izvješću.
AmazonTranslate,hr,I am still mad that our team lost.,14,Još uvijek sam ljut što je naš tim izgubio.,Još uvijek sam ljuta što je naš tim izgubio.
AmazonTranslate,hr,I have never taken the words of angry people personally.,11,Nikada nisam osobno shvatio riječi ljutih ljudi.,Nikada nisam osobno shvatila riječi ljutih ljudi.
AmazonTranslate,hr,The roar of the engine filled the air as I maneuvered the powerful motorcycle through the winding roads.,16,Ruk motora napunio je zrak dok sam manevrirao snažnim motociklom kroz krivudave ceste.,Rik motora napunio je zrak dok sam manevrirao snažnim motociklom kroz krivudave ceste.
AmazonTranslate,hr,I took the children to the football match.,3,Odveo sam djecu na nogometnu utakmicu.,Odvela sam djecu na nogometnu utakmicu.
AmazonTranslate,hr,I showed diligence in my commitment to self-improvement and a willingness to learn from others.,10,Pokazao sam marljivost u svojoj predanosti samopoboljšanju i spremnosti da učim od drugih.,Pokazala sam marljivost u svojoj predanosti samopoboljšanju i spremnosti da učim od drugih.
AmazonTranslate,hr,"Breaking through concrete and bricks, I embraced the rough physicality of the demolition job.",16,"Probijajući beton i ciglu, prihvatio sam grubu fizičnost posla rušenja.","Probijajući beton i ciglu, prihvatila sam grubu fizičnost posla rušenja."
AmazonTranslate,hr,"As a role model for integrity and accountability, I inspired those around me to do the same.",13,"Kao uzor integritetu i odgovornosti, inspirirao sam ljude oko sebe da učine isto.","Kao uzor integritetu i odgovornosti, inspirirala sam ljude oko sebe da učine isto."
AmazonTranslate,hr,I had a big wedding with many guests.,5,Imao sam veliko vjenčanje s mnogo gostiju.,Imala sam veliko vjenčanje s mnogo gostiju.
AmazonTranslate,hr,I always said that sex is very important for me.,15,Uvijek sam govorio da mi je seks vrlo važan.,Uvijek sam govorila da mi je seks vrlo važan.
AmazonTranslate,hr,"When I was at university, I preferred to sit in the corner, where nobody could notice me.",2,"Kad sam bio na sveučilištu, radije sam sjedila u kutu, gdje me nitko nije mogao primijetiti.","Kad sam bila na sveučilištu, radije sam sjedila u kutu, gdje me nitko nije mogao primijetiti."
AmazonTranslate,hr,I earned enough money for us to go to Malta.,12,Zaradio sam dovoljno novca da odemo na Maltu.,Zaradila sam dovoljno novca da odemo na Maltu.
AmazonTranslate,hr,"I avoided expressing my true emotions or concerns, fearing that it would upset or displease others.",2,"Izbjegavao sam izražavati svoje istinske emocije ili zabrinutosti, bojeći se da će to uznemiriti ili obeshrabriti druge.","Izbjegavala sam izražavati svoje istinske emocije ili zabrinutosti, bojeći se da će to uznemiriti ili obeshrabriti druge."
AmazonTranslate,hr,I paid for another porn channel.,15,Platio sam još jedan porno kanal.,Platila sam još jedan porno kanal.
AmazonTranslate,hr,I approached challenges with a clear and rational mindset.,11,Izazovima sam pristupio jasnim i racionalnim načinom razmišljanja.,Izazovima sam pristupila jasnim i racionalnim načinom razmišljanja.
AmazonTranslate,hr,I told them to follow me.,13,Rekao sam im da me slijede.,Rekla sam im da me slijede.
AmazonTranslate,hr,I couldn't control my frustration.,1,Nisam mogao kontrolirati svoju frustraciju.,Nisam mogla kontrolirati svoju frustraciju.
AmazonTranslate,hr,"I tried to solve a complex math problem, but my mathematical skills were weak.",6,"Pokušao sam riješiti složeni matematički problem, ali moje matematičke vještine bile su slabe.","Pokušala sam riješiti složeni matematički problem, ali moje matematičke vještine bile su slabe."
AmazonTranslate,hr,I have always felt that childcare was my life goal.,3,Uvijek sam smatrao da je briga o djeci moj životni cilj.,Uvijek sam osjećala da je briga o djeci moj životni cilj.
AmazonTranslate,hr,Why did I have to get old?!,7,Zašto sam morao ostariti?!,Zašto sam morala ostariti?!
AmazonTranslate,hr,"I didn't like our sex, but I didn't say anything.",15,"Nije mi se svidio naš seks, ali nisam ništa rekao.","Nije mi se svidio naš seks, ali nisam ništa rekla."
AmazonTranslate,hr,"With each punch thrown and block executed, I could feel the power surging through me.",16,"Sa svakim bacenim udarcem i izvršenim blokom, mogao sam osjetiti kako snaga prolazi kroz mene.","Sa svakim bacenim udarcem i izvršenim blokom, mogla sam osjetiti kako snaga prolazi kroz mene."
AmazonTranslate,hr,I would never allow myself to offend anyone.,2,Nikada ne bih dopustio da nikoga uvrijedim.,Nikada ne bih dopustila da nikoga uvrijedim.
AmazonTranslate,hr,I don't like when the meal I prepared is tasteless.,3,Ne volim kad je obrok koji sam pripremio bez ukusa.,Ne volim kad je obrok koji sam pripremila bez ukusa.
AmazonTranslate,hr,I made some extra money as a personal trainer.,16,Zaradio sam dodatni novac kao osobni trener.,Zaradila sam dodatni novac kao osobni trener.
AmazonTranslate,hr,"If I had been there, the atmosphere would have been better.",2,"Da sam bio tamo, atmosfera bi bila bolja.","Da sam bila tamo, atmosfera bi bila bolja."
AmazonTranslate,hr,I'd rather have everything right away.,14,Radije bih imao sve odmah.,Radije bih imala sve odmah.
AmazonTranslate,hr,I could lift that car if I wanted to.,8,Mogao bih podići taj auto ako želim.,Mogla bih podići taj auto ako želim.
AmazonTranslate,hr,On the way home I talked to an elderly lady on the train.,5,Na putu kući razgovarao sam sa starijom damom u vlaku.,Na putu kući razgovarala sam sa starijom damom u vlaku.
AmazonTranslate,hr,I could not cook because it was my mother's job.,14,Nisam mogao kuhati jer je to bio posao moje majke.,Nisam mogla kuhati jer je to bio posao moje majke.
AmazonTranslate,hr,I was raised to know how to take care of others.,3,Odgojen sam da znam brinuti se o drugima.,Odgajana sam da znam brinuti se o drugima.
AmazonTranslate,hr,I filtered out all the distractions.,11,Filtrirao sam sve smetnje.,Filtrirala sam sve smetnje.
AmazonTranslate,hr,"I came up with a deal: if you vacuum, I'll take you out tonight.",12,"Došao sam do dogovora: ako usisavate, izvest ću vas večeras.","Došla sam do dogovora: ako usisavate, izvest ću vas večeras."
AmazonTranslate,hr,Finally the beauty catalogue that I ordered has arrived.,7,Napokon je stigao katalog ljepote koji sam naručio.,Napokon je stigao katalog ljepote koji sam naručila.
AmazonTranslate,hr,I was just protecting you from other people at that club.,15,Samo sam te štitio od drugih ljudi u tom klubu.,Samo sam te štitila od drugih ljudi u tom klubu.
AmazonTranslate,hr,I divided the tasks equally among all the team members.,13,Podelio sam zadatke jednako među svim članovima tima.,Podjela sam zadatke jednako među svim članovima tima.
AmazonTranslate,hr,"The storm raged on, but I stood strong on the deck of the ship.",8,"Oluja je bjesnila, ali ja sam snažno stajao na palubi broda.","Oluja je bjesnila, ali ja sam snažno stajala na palubi broda."
AmazonTranslate,hr,I first weighted all the possible scenarios.,11,Prvo sam ponderisao sve moguće scenarije.,Prvo sam ponderirala sve moguće scenarije.
AmazonTranslate,hr,I could strike up a conversation with almost everybody that evening.,5,Mogao bih započeti razgovor sa gotovo svima te večeri.,Mogla bih započeti razgovor sa gotovo svima te večeri.
AmazonTranslate,hr,I have worked hard to get to where I am today.,9,Naporno sam radio da dođem tamo gdje sam danas.,Naporno sam radila da dođem tamo gdje sam danas.
AmazonTranslate,hr,"Every step reflected the confidence I held within, captivating the onlookers with my magnetic presence.",9,"Svaki korak odražavao je samopouzdanje koje sam držao u sebi, očaravajući gledatelje svojom magnetskom prisutnošću.","Svaki korak odražavao je samopouzdanje koje sam držao u sebi, očaravajući promatrače svojom magnetskom prisutnošću."
AmazonTranslate,hr,I struggled to strike a balance between my sexual desires and other important aspects of life.,15,Borio sam se da uspostavim ravnotežu između svojih seksualnih želja i drugih važnih aspekata života.,Borila sam se da uspostavim ravnotežu između svojih seksualnih želja i drugih važnih aspekata života.
AmazonTranslate,hr,I always liked dancing.,1,Uvijek sam volio plesati.,Uvijek sam voljela plesati.
AmazonTranslate,hr,I went to walk the dogs from the shelter.,3,Otišao sam šetati pse iz skloništa.,Otišla sam šetati pse iz skloništa.
AmazonTranslate,hr,I read a book about self-improvement yesterday.,11,Jučer sam pročitao knjigu o samopoboljšanju.,Jučer sam pročitala knjigu o samopoboljšanju.
AmazonTranslate,hr,I'm very competitive when it comes to promotions and performance in the workplace.,10,Vrlo sam konkurentan kada su u pitanju napredovanja i performanse na radnom mjestu.,Vrlo sam konkurentna kada su u pitanju napredovanja i performanse na radnom mjestu.
AmazonTranslate,hr,I never had a problem with learning a new language.,5,Nikada nisam imao problema s učenjem novog jezika.,Nikada nisam imala problema s učenjem novog jezika.
AmazonTranslate,hr,"When tsunami came, I volunteered to save people from drowning.",8,"Kad je došlo do tsunami, dobrovoljno sam se prijavio da spasim ljude od utapanja.","Kad je došlo do tsunami, dobrovoljno sam se prijavila da spasim ljude od utapanja."
AmazonTranslate,hr,I used to clean the house on every Saturday.,4,Čistio sam kuću svake subote.,Čistila sam kuću svake subote.
AmazonTranslate,hr,I thought that confidence is the key aspect of having a healthy and successful life.,9,Mislio sam da je samopouzdanje ključni aspekt zdravog i uspješnog života.,Mislila sam da je samopouzdanje ključni aspekt zdravog i uspješnog života.
AmazonTranslate,hr,"I went to buy new sponges, these were too dirty.",4,"Otišao sam kupiti nove spužve, ove su bile previše prljave.","Otišla sam kupiti nove spužve, ove su bile previše prljave."
AmazonTranslate,hr,I found a nice picture of myself easily.,7,Lako sam pronašao lijepu sliku sebe.,Lako sam pronašla lijepu sliku sebe.
AmazonTranslate,hr,I decided to change my plans for no reason.,1,Odlučio sam promijeniti svoje planove bez razloga.,Odlučila sam promijeniti svoje planove bez razloga.
AmazonTranslate,hr,I wanted to discuss the current political situation with you.,11,Htio sam razgovarati o trenutnoj političkoj situaciji s vama.,Htjela sam razgovarati o trenutnoj političkoj situaciji s vama.
AmazonTranslate,hr,I have never left home without making sure that everybody has something to eat first.,3,"Nikada nisam napustio dom, a da se ne pobrinem da svi prvo imaju nešto za jesti.","Nikada nisam napustila dom, a da se ne pobrinem da svi prvo imaju nešto za jesti."
AmazonTranslate,hr,I didn't accept any position but that of a boss.,13,Nisam prihvatio nijednu poziciju osim šefa.,Nisam prihvatila nijednu poziciju osim šefa.
AmazonTranslate,hr,I always protected my relatives no matter what.,8,Uvijek sam štitio svoju rodbinu bez obzira na sve.,Uvijek sam štitila svoju rodbinu bez obzira na sve.
AmazonTranslate,hr,I had an STD test done.,15,Imao sam STD test.,Napravila sam STD test.
AmazonTranslate,hr,"Sweat dripped down my forehead as I gripped the heavy barbell, preparing for another intense set.",16,"Znoj mi je kapao niz čelo dok sam hvatao tešku utegu, pripremajući se za još jedan intenzivan set.","Znoj mi je kapao niz čelo dok sam uhvatila tešku utegu, pripremajući se za još jedan intenzivan set."
AmazonTranslate,hr,I joined a university study because they were looking for sexually active people.,15,Pridružio sam se sveučilišnom studiju jer su tražili seksualno aktivne ljude.,Pridružila sam se sveučilišnom studiju jer su tražili seksualno aktivne ljude.
AmazonTranslate,hr,There were just too many obstacles so I had to give up.,6,Bilo je previše prepreka pa sam morao odustati.,Bilo je previše prepreka pa sam morala odustati.
AmazonTranslate,hr,I always felt driven by leader positions.,10,Uvijek sam se osjećao vođenim pozicijama.,Uvijek sam se osjećala vođenim pozicijama.
